		0.02	110.222	118.957	158.236	50.0	21.5
0.000	0.000	0.04	110.289	118.886	158.401	50.0	31.1
0.000	0.000	0.06	109.908	119.211	158.195	50.0	33.6
0.000	0.000	0.08	110.901	119.753	159.104	50.0	32.2
0.000	0.000	0.10	111.273	120.117	159.621	50.0	33.7
0.000	0.000	0.12	111.029	120.492	159.609	50.0	24.3
0.000	0.000	0.14	111.653	120.732	160.168	50.0	30.8
0.000	0.000	0.16	111.747	120.743	160.220	50.0	35.0
0.000	0.000	0.18	111.193	120.735	159.894	50.0	33.2
0.000	0.000	0.20	111.465	120.621	160.208	50.0	36.3
0.000	0.000	0.22	111.323	120.687	160.112	50.0	27.9
0.000	0.000	0.24	111.082	120.549	159.758	50.0	27.8
0.000	0.000	0.26	111.512	120.580	160.254	50.0	29.5
0.000	0.000	0.28	111.820	120.344	160.452	50.0	27.1
0.000	0.000	0.30	110.950	120.468	159.666	50.0	25.4
0.000	0.000	0.32	111.671	120.498	160.391	50.0	32.6
0.000	0.000	0.34	111.730	120.380	160.460	50.0	32.7
0.000	0.000	0.36	111.005	120.568	159.865	50.0	33.3
0.000	0.000	0.38	111.481	120.478	160.388	50.0	34.2
0.000	0.000	0.40	111.551	120.453	160.392	50.0	35.0
0.000	0.000	0.42	111.073	120.559	159.827	50.0	35.2
0.000	0.000	0.44	111.620	120.474	160.295	50.0	35.8
0.000	0.000	0.46	111.304	120.666	160.192	50.0	37.1
0.000	0.000	0.48	111.206	120.479	159.886	50.0	35.4
0.000	0.000	0.50	111.024	120.488	159.929	50.0	36.3
0.000	0.000	0.52	111.390	120.357	160.031	50.0	34.5
0.000	0.000	0.54	110.994	120.478	159.892	50.0	35.1
0.000	0.000	0.56	111.368	120.583	160.254	50.0	35.9
0.000	0.000	0.58	111.668	120.640	160.451	50.0	37.1
0.000	0.000	0.60	111.195	120.667	160.042	50.0	36.1
0.000	0.000	0.62	111.802	120.663	160.525	50.0	35.5
0.000	0.000	0.64	111.820	120.605	160.680	50.0	34.8
0.000	0.000	0.66	111.195	120.829	160.090	50.0	34.6
0.000	0.000	0.68	111.582	121.013	160.414	50.0	36.2
0.000	0.000	0.70	111.825	120.810	160.483	50.0	35.1
0.000	0.000	0.72	111.289	120.910	160.135	50.0	32.8
0.000	0.000	0.74	111.838	120.966	160.688	50.0	36.0
0.000	0.000	0.76	111.952	120.804	160.843	50.0	37.1
0.000	0.000	0.78	111.163	120.904	160.177	50.0	33.9
0.000	0.000	0.80	111.808	120.828	160.609	50.0	34.5
0.000	0.000	0.82	111.816	120.907	160.716	50.0	35.6
0.000	0.000	0.84	111.261	120.989	160.258	50.0	34.6
0.000	0.000	0.86	111.932	120.944	160.681	50.0	35.4
0.000	0.000	0.88	112.050	120.946	160.659	50.0	36.2
0.000	0.000	0.90	111.365	121.008	160.233	50.0	34.0
0.000	0.000	0.92	112.008	120.973	160.540	50.0	34.8
0.000	0.000	0.94	111.805	121.063	160.423	50.0	35.2
0.000	0.000	0.96	111.488	120.866	160.138	50.0	33.1
0.000	0.000	0.98	111.836	120.926	160.553	50.0	35.2
